celeb_id,name,source_file,n_blocks,full_chars,selected_chars,selected_rank,selected_text
11,姚明,1_data/ChineseStimuli/CelebrityText/姚明.txt,107,11882,122,2,姚明，1980年9月12日出生于上海市，祖籍江苏省苏州市，中国前男子职业篮球运动员，司职中锋。第十二届全国政协委员、第十四届全国人大代表、改革先锋奖章获得者。中国篮球协会原主席， 现任亚洲篮球联合会主席、全国青联副主席、中职联公司董事长兼总经理。
12,孙俪,1_data/ChineseStimuli/CelebrityText/孙俪.txt,43,4104,314,3,2001年，参加新加坡“才华横溢出新秀”比赛，获得亚军及智慧大奖 。2003年，因主演个人首部电视剧《玉观音》正式出道 ，凭借该剧获得第22届中国电视金鹰奖“最具人气女演员奖”和“最受观众喜爱的电视剧女演员奖” 。2005年，主演军旅题材剧《幸福像花儿一样》，并演唱片尾曲《爱如空气》 。2006年，因主演个人首部电影《霍元甲》获得第28届大众电影百花奖“最佳新人奖” 。2008年，发行个人首张音乐专辑《小小的梦想》 。2012年，主演清宫题材剧《甄嬛传》 ，饰演“甄嬛”一角 。2013年，主演时装剧《辣妈正传》 ，凭该剧获第20届上海电视节白玉兰奖“最佳女演员奖” 、第27届中国电视金鹰奖“最具人气女演员奖”及“观众喜爱的电视剧女演员奖” 。
13,孙杨,1_data/ChineseStimuli/CelebrityText/孙杨.txt,107,9075,446,3,2004年6月，孙杨进入浙江省游泳队， 2007年1月，正式进入国家游泳队。 2010年广州亚运会男子1500米自由泳决赛中，孙杨以14分35秒43改写亚洲纪录的成绩夺冠； 翌年上海世界游泳锦标赛上，孙杨以7分38秒57的成绩摘下男子800米自由泳金牌，同时也是生涯第一个世界冠军。 2012年伦敦奥运会，孙杨在400米自由泳决赛中以3分40秒14的成绩打破该项目奥运会纪录获得冠军，成为中国第一个男子游泳奥运冠军；随后在1500米自由泳决赛以14分31秒02打破世界纪录的成绩夺冠。 2013年巴塞罗那世界游泳锦标赛，包揽400米自由泳、800米自由泳、1500米自由泳三枚金牌，并在世锦赛荣膺最佳男子运动员。 两年后的喀山世界游泳锦标赛，以两金一银的成绩再获世锦赛最佳男运动员（MVP）奖项，成为继菲尔普斯后第二位蝉联该荣誉的运动员。 2016年里约奥运会，以1分44秒65的成绩斩获200米自由泳冠军， 成为历史上首位集男子200米自由泳、400米自由泳、1500米自由泳奥运会金牌于一身的游泳运动员。
14,孙燕姿,1_data/ChineseStimuli/CelebrityText/孙燕姿.txt,58,10092,561,2,2000年，发行个人首张音乐专辑《孙燕姿》 ，成为2000年台湾地区年度专辑销量冠军 ，她凭借该专辑创下包揽亚洲各地区15座新人奖的记录 ，其中包括第12届台湾金曲奖“最佳新人奖” ；同年12月，发行专辑《我要的幸福》，尝试更为多元的风格 ，并成为2001年台湾地区销量年冠 。2001年，发行专辑《风筝》，获得台湾地区销量年季 。2002年，首次登上中央电视台春节联欢晚会的舞台 ；之后，相继发行专辑《Start》 《Leave》 ，专辑销量均突破百万 ，获得了多项音乐大奖 ，更因“孙燕姿现象”而登上国际杂志《亚洲周刊》封面 。2003年，发行专辑《未完成》 《TheMoment》 ；同年8月，宣布暂别歌坛一年 。2004年10月，发行专辑《Stefanie》 ，并于次年获得第16届台湾金曲奖“最佳国语女歌手奖”等多个奖项 ；2005年，发行专辑《完美的一天》 ，获得MTV日本音乐录影带奖“最佳大中华区歌手奖” 。2007年，发行专辑《逆光》 ；之后，她的音乐作品有所减少 。2011年，发行专辑《是时候》回归乐坛 ，凭借该专辑获得新加坡金曲奖“最受欢迎女歌手”和“最佳专辑制作人”等六个奖项 。2014年，发行专辑《克卜勒》 ，并举行孙燕姿“克卜勒”世界巡回演唱会 。2017年，发行音乐专辑《跳舞的梵谷》 。2025年，举行孙燕姿“就在日落以后”亚洲巡回演唱会 。
15,孙颖莎,1_data/ChineseStimuli/CelebrityText/孙颖莎.txt,167,27972,295,4,2015年，孙颖莎进入国家二队。2017年，升入一队 ；6月，首次在日本公开赛中斩获女单、女双两项冠军 ；7月，世界排名从无直接“空降”至世界第10 ；同年斩获2017年世青赛女单、女双、女团三冠 。2018年，获得青奥会女单冠军。 。2019年，获得世锦赛女双冠军、世界杯女团冠军，并首次摘得亚锦赛与全锦赛女单冠军 。2020年，获WTT澳门国际乒乓球女单冠军，是WTT历史上首位冠军 。2021年，获得东京奥运会乒乓球女单亚军、女团冠军； 11月，获得世乒赛女单亚军、女双冠军、混双冠军。12月，获得2021年WTT世界杯女单冠军 。2022年1月，首次登顶世界第一，成为世界乒坛首位“00后”世界第一。
16,宋茜,1_data/ChineseStimuli/CelebrityText/宋茜.txt,45,6507,592,3,2007年，被韩国SM娱乐有限公司星探发掘，成为旗下练习生。2009年，担任女子流行演唱组合f(x)队长，以歌手身份正式出道。2012年，由宋茜主演的都市爱情剧《爱情闯进门》 ，并凭借该剧获得国剧盛典年度最佳新人女演员奖 。2015年12月，主演都市励志剧《美丽的秘密》 。2016年12月，凭借古装玄幻剧《幻城》获得国剧盛典年度最具人气女演员奖 。2017年6月，主演古装神话电视剧《上古情歌》 。2018年3月，参加爱奇艺综艺节目《热血街舞团》；5月，主演爱情奇幻剧《结爱·千岁大人的初恋》 。2019年8月，主演都市情感励志剧《山月不知心底事》 ；同月，入选2019福布斯中国100名人榜 ；9月5日，与韩国SM娱乐有限公司合约到期 。2020年1月，宋茜主演都市情感剧《下一站是幸福》 ；3月，加盟腾讯视频女团成长综艺节目《创造营2020》，担任教练团成员 ；5月，发布同名专辑《VICTORIA》 ；8月，主演都市情感剧《他其实没有那么爱你》。2021年，主演爱情悬疑剧《陌生的恋人》和古装悬疑剧《风起洛阳》相继开播 。2022年9月7日，主演都市医疗剧《亲爱的生命》播出 ；10月26日，主演现代爱情剧《谁都知道我爱你》播出 。2023年，宋茜作为新坞民参加群居生活体验类真人秀《五十公里桃花坞》第三季 。2024年2月3日，宋茜在《同心向未来——2024中国网络视听年度盛典》节目中演唱歌曲《青花瓷》 。
17,屠呦呦,1_data/ChineseStimuli/CelebrityText/屠呦呦.txt,89,8757,108,2,屠呦呦，女，汉族，1930年12月30日出生于浙江宁波 ，毕业于北京大学 ，中共党员，药学家，抗疟药青蒿素和双氢青蒿素发现者，中国中医科学院终身研究员兼首席研究员、青蒿素研究中心主任、博士生导师，美国国家科学院外籍院士。
18,张怡宁,1_data/ChineseStimuli/CelebrityText/张怡宁.txt,68,8822,99,2,张怡宁，1981年10月5日生于北京，中国乒乓球运动员、世界冠军、奥运冠军，唯一一位完成双圈“大满贯”的女子乒乓球选手。中共党员，中共十七大代表，现任上海体育大学中国乒乓球学院特聘副教授、院长助理。
19,成龙,1_data/ChineseStimuli/CelebrityText/成龙.txt,55,6888,649,2,成龙（Jackie Chan），1954年4月7日出生于中国香港，华语影视男演员、电影导演、流行乐歌手、制片人、编剧，一级演员。1971年，以龙虎武师身份进入演艺圈 。1978年，凭电影《醉拳》确立功夫喜剧的表演风格 。1980年，自导自演的电影《师弟出马》打破香港地区票房纪录 。1983年，执导并主演电影《A计划》 。1986年，自导自演的动作片《警察故事》成为香港电影警匪片代表作 。1989年，获英国不列颠帝国勋章 。1992年，发行个人首张普通话专辑《第一次》 ；同年起，先后凭电影《警察故事3超级警察》《重案组》连续两年获台湾电影金马奖最佳男主角奖 。1994年，主演电影《醉拳Ⅱ》 ，该片被《时代周刊》评为“世界十大电影”之一 。1995年，主演的电影《红番区》打破北美外语片票房纪录 。1998年起，凭电影《尖峰时刻》《尖峰时刻Ⅱ》奠定其在好莱坞的地位 ，并创下华人主演好莱坞电影的票房纪录 。2003年，当选感动中国“年度十大人物” 。2004年，主演电影《新警察故事》 ，凭该片获第25届中国电影金鸡奖最佳男主角奖 。2005年，主演的电影《神话》亚洲票房突破1.2亿元 。2012年，被《纽约时报》评为“史上20位最伟大的动作影星”第一位 ；同年，获吉尼斯世界纪录“表演特技最多的演员”认证 。2016年，成为首位获第89届奥斯卡金像奖终身成就奖的华人演员 。2019年，获英国电影与电视艺术学院大不列颠奖“艾伯特·R·布洛柯里奖” 。2024年，主演爱情片《传说》 。2025年，出演的电影《功夫梦：融合之道》在北美上映
20,撒贝宁,1_data/ChineseStimuli/CelebrityText/撒贝宁.txt,31,4092,468,2,1999年，撒贝宁开始主持由中央电视台推出的全国第一档全日播法制栏目《今日说法》 ，并凭借主持该节目获得中国电视榜年度新人奖 。随后几年间，撒贝宁先后获得中国电视法制栏目主持人大赛一等奖、首届全国大学生电视节最具潜质主持人奖、首届央视十佳主持人、“荣事达”电视主持人大赛金奖等多项奖项 。2006年，撒贝宁开始主持中央电视台社会与法频道推出的两会特别节目《小撒探会》 ，同年，撒贝宁主持的《2005年度十大法律人物颁奖典礼》荣获主持界最高荣誉“金话筒”奖电视播音主持作品奖 、本人入选中国内地电视主持人最高水平的“25年25人” 。2008年，撒贝宁参加中央电视台鼠年春节联欢晚会，表演诗朗诵《温暖2008》 。2012年，撒贝宁成为中央电视台龙年春节联欢晚会主持第七人 ，开始主持中央电视台综合频道制作的“中国青年电视公开课”《开讲啦》 。2013年，撒贝宁荣获主持界最高荣誉“金话筒奖”电视播音主持人奖 ，并主持当年中央电视台蛇年春节联欢晚会。2015年、2016年 、2022年 、2023年 、2024年，2025年撒贝宁多次主持中央电视台春节联欢晚会。
