label,moderator,level,k_re,n,secs,converged,singular,logLik,AIC,semXfam,semXfam_se,semXfam_z,semXfam_p,semXfam_raw,visXfam,visXfam_se,visXfam_z,visXfam_p,visXfam_raw,fam_sd,lrt_chisq,lrt_df,lrt_p,mod
fam_cn_attractive,fam,L0,63,381419,1143.9259250164,True,False,-646254.660330256,1292651.32066051,-0.0066042420321905,0.0105542372258744,-0.625743186442673,0.531483401841482,-0.0042857211719182,-0.0027853749906843,0.0111601685932671,-0.249581802228753,0.802910773020669,-0.0018075262098393,1.54098733148209,,,,fam
fam_cn_attractive,fam,L1,41,381419,815.306955814362,True,False,-646463.102986841,1293024.20597368,-0.0126181917532216,0.0076372125686285,-1.65219857897545,0.0984940760500499,-0.0081883812380765,-0.0156416860173035,0.0060946586155343,-2.56645810766746,0.0102743035105818,-0.0101504312837275,1.54098733148209,416.885313171195,22.0,1.33613352120403e-74,fam
fam_cn_attractive,fam,L2,33,381419,537.106162309647,True,False,-647613.007074847,1295308.01414969,0.0234372696104309,0.0072956847155192,3.21248388935661,0.0013159252873702,0.0152092552168417,-0.0249634521403491,0.0059644072264223,-4.18540371116196,2.84659719143655e-05,-0.0161996478688373,1.54098733148209,2299.80817601131,8.0,0.0,fam
fam_cn_attractive,fam,L3,23,381419,283.153188943863,True,False,-654943.252186624,1309948.50437325,0.0582652294523824,0.0079705627740676,7.31005213859543,2.67038748376835e-13,0.0378103234608321,-0.0197451595688345,0.0062861157787196,-3.14107475329642,0.0016832906188326,-0.0128133172579972,1.54098733148209,14660.4902235544,10.0,0.0,fam
fam_cn_attractive,fam,L4,12,381419,148.987465858459,True,False,-656115.358074248,1312270.7161485,0.0537301036062298,0.0030136487653224,17.8289202857654,4.21482270759652e-71,0.0348673233767297,-0.0185682525151072,0.0027776653847104,-6.6848413841767,2.3117489456605696e-11,-0.0120495815479862,1.54098733148209,2344.21177524701,11.0,0.0,fam
fam_cn_attractive,fam,L5,8,381419,116.008908510208,True,False,-658093.433217553,1316218.86643511,0.0531202214422612,0.0030174962315812,17.604072172917,2.29233304034284e-69,0.0344715497376421,-0.0198922219977029,0.0027966677677093,-7.11282985679627,1.13687400097701e-12,-0.0129087511566828,1.54098733148209,3956.15028661117,4.0,0.0,fam
fam_cn_attractive,fam,L6,3,381419,64.0653374195099,True,False,-663554.760195713,1327131.52039143,0.0432617491273826,0.0025460596958073,16.991647603009,9.4691536810819e-65,0.0280740459337679,-0.0128690212127261,0.0024243783480621,-5.30817362851503,1.10729138740039e-07,-0.0083511531534454,1.54098733148209,10922.6539563194,5.0,0.0,fam
fam_cn_charismatic,fam,L0,63,378918,1272.73263716698,True,False,-630491.376215717,1261124.75243143,-0.0258863857551317,0.0102565656902506,-2.52388436216404,0.01160661011084,-0.0168093487375087,0.0057055598038821,0.0074684335854132,0.763956690332734,0.444893052367915,0.0037049105809278,1.53999932771746,,,,fam
fam_cn_charismatic,fam,L1,41,378918,757.526707649231,True,False,-630678.103639856,1261454.20727971,-0.0219305474532084,0.0073750944770677,-2.97359545988185,0.0029433283774328,-0.0142406214460582,-0.0092810113875453,0.0050257130869227,-1.84670537832634,0.0647898517930174,-0.0060266334020426,1.53999932771746,373.454848278081,22.0,1.20613207635296e-65,fam
fam_cn_charismatic,fam,L2,33,378918,543.591908454895,True,False,-631892.857456916,1263867.71491383,-0.0085271251855984,0.0070291629620472,-1.21310677126697,0.225089001489111,-0.0055370966935661,-0.0129104966989119,0.0048409422372824,-2.66693880366553,0.0076545608464276,-0.0083834430746456,1.53999932771746,2429.50763411913,8.0,0.0,fam
fam_cn_charismatic,fam,L3,23,378918,275.03409576416,True,False,-633295.012504763,1266652.02500953,0.0121648215019448,0.0070391853177261,1.72815758541137,0.0839599756590167,0.0078992381899121,-0.0088402368274619,0.0047050656521101,-1.8788764028186,0.0602613715766637,-0.0057404160302879,1.53999932771746,2804.31009569438,10.0,0.0,fam
fam_cn_charismatic,fam,L4,12,378918,144.991206884384,True,False,-634088.356369315,1268216.71273863,0.013753631386183,0.0028758651003311,4.78243273114558,1.73186352357318e-06,0.0089309333703205,-0.0107850348549733,0.0026324901512906,-4.09689466442477,4.18729318654077e-05,-0.0070032724436046,1.53999932771746,1586.68772910372,11.0,0.0,fam
