mod,ds,trait,lvl,n,k,AIC,sem,sem_se,sem_p,sem_raw,vis,vis_se,vis_p,lrt_chi,lrt_df,lrt_p,sem_p_holm,vis_p_holm,sd_outcome,sem_std,vis_std,sem_se_std,vis_se_std
fam,cn,attractive,L0,381419,63,1292651.32066051,-0.0066042420321905,0.0105542372258744,0.531483401841482,-0.0042857211719182,-0.0027853749906843,0.0111601685932671,0.802910773020669,,,,0.7487622467834489,1.0,1.499607201923159,-0.0044039812717096,-0.0018574030500201,0.007038001159463,0.007442061213733
fam,cn,charismatic,L0,378918,63,1261124.75243143,-0.0258863857551317,0.0102565656902506,0.01160661011084,-0.0168093487375087,0.0057055598038821,0.0074684335854132,0.444893052367915,,,,0.08124627077588,1.0,1.418162501019685,-0.0182534693566632,0.0040232059441563,0.0072322922675475,0.0052662749015315
fam,cn,competent,L0,374705,63,1148925.49856348,0.044146447854142,0.0094468481719035,2.96628840210546e-06,0.0287195406688729,-0.0061455420232143,0.0068249093808171,0.36787674049731,,,,2.669659561894914e-05,1.0,1.2464661443357146,0.0354172859445526,-0.0049303721975453,0.0075789047418837,0.0054754069429252
fam,cn,critical,L2,379789,33,1316957.18028518,0.009594987068302,0.005867291149776,0.101978822578607,0.0062427020941071,-0.0046088892227108,0.0043087595718573,0.284774314915774,,,,0.407915290314428,1.0,1.4592088721664669,0.0065754719912417,-0.0031584849233187,0.0040208713513815,0.0029528052179809
fam,cn,feminine,L0,373388,63,1408118.98975855,0.0353417163629992,0.0377760733903525,0.349500689119725,0.0230097848755079,0.0412312235593716,0.0279925342322587,0.140768176634288,,,,0.7487622467834489,1.0,2.2272292383539978,0.0158680192206519,0.0185123393898344,0.0169610171866594,0.0125683219985681
fam,cn,practical,L1,378854,41,1208325.44675214,0.0483597732342783,0.0060710250213846,1.6433283914611805e-15,0.0314441235812411,-0.0047528199141702,0.0050461472532681,0.346258673417048,,,,1.6433283914611803e-14,1.0,1.3044805706948122,0.0370720532913113,-0.0036434578030078,0.0046539788769341,0.0038683192119759
fam,cn,strong,L0,383109,63,1222024.2191071,0.0230790720499756,0.0118736983272346,0.0519299658798889,0.0149976563569418,-0.002949671392079,0.0114110865559885,0.796027438253816,,,,0.2864700974325246,1.0,1.3604427420608904,0.0169643832382198,-0.002168170185252,0.0087278192312948,0.0083877742173126
fam,cn,trustworthy,L0,381025,63,1226132.12007063,0.0204244420507294,0.0077475457486231,0.0083828756422682,0.0132574515977204,-0.0028799170827541,0.0059098543403903,0.626040344965332,,,,0.0670630051381456,1.0,1.3079820807475957,0.0156152307828678,-0.0022018016340927,0.0059232812610054,0.0045182991627931
fam,cn,warm,L1,381067,41,1267376.72822621,-0.0074744466298193,0.0064918861026653,0.249587415594483,-0.00484928573446,0.0060756573734263,0.00428157891361,0.155892418382005,,,,0.7487622467834489,1.0,1.3620747960906423,-0.0054875449213744,0.0044605901165371,0.0047661744577448,0.003143424227435
fam,cn,young,L0,384275,63,1215300.58724569,0.0317220424979706,0.0160242205823942,0.0477450162387541,0.0206214868760844,-0.0004395860115057,0.0112510429048887,0.968834028969741,,,,0.2864700974325246,1.0,1.4995864054747656,0.0211538610794004,-0.000293138167898,0.0106857601028471,0.0075027640046701
