dataset,trait,n_celebrities,rsa_sem_r,rsa_vis_r,diff_sem_minus_vis,sem_boot_ci_lower,sem_boot_ci_upper,vis_boot_ci_lower,vis_boot_ci_upper,boot_ci_lower,boot_ci_upper,p_boot,se_jackknife,p_jackknife,z_fisher_pairwise,p_fisher_pairwise,n_boot
cn,traitspace,50,0.3935472263946361,0.6910813003831222,-0.29753407398848614,0.24565112903285738,0.5622549192491095,0.5849812828002637,0.7810653918358271,-0.454493856825401,-0.13291126063025463,0.0004,0.07848033079125782,0.00014992544126401746,-10.728587854016238,7.472941695160406e-27,5000
cn,warm,50,-0.08773182711169893,-0.041050981701166535,-0.04668084541053239,-0.1742136906723465,0.017734825618115086,-0.12728529180013765,0.06000655920685975,-0.17246513317492834,0.08676386670100722,0.51,0.05970541699246837,0.4343011068232423,-1.1588955291213443,0.24649877153462918,5000
cn,critical,50,0.1881350249170537,0.10538813071781164,0.08274689419924205,0.0014536071859750975,0.37599840926912814,-0.04794975746230415,0.2698770285797136,-0.09950753710212605,0.27198689934899567,0.3972,0.0955272273197878,0.38637354901611076,2.09172495925086,0.03646312645483204,5000
cn,competent,50,0.1229071608046856,0.17440143601716152,-0.05149427521247592,-0.04473519541443199,0.31640587909281753,0.029015127795973407,0.32867299407230294,-0.21143498416697248,0.10401582582739805,0.4956,0.0776878387188062,0.5074357680418231,-1.301941015372817,0.19293655006905952,5000
cn,practical,50,0.21134922725932886,0.2673006753616695,-0.05595144810234065,0.017719450458344298,0.42187659087346635,0.11465712065592927,0.42394910242033945,-0.26737471832356385,0.14496349058513386,0.6144,0.10556336236033337,0.5960931068280149,-1.4675639779530354,0.14222269879703775,5000
cn,feminine,50,0.23878407480447314,0.6179734471276275,-0.3791893723231543,0.10447806852693181,0.42623473328037276,0.49652960000661245,0.7218898076258535,-0.5124670387322757,-0.21996163288709156,0.0002,0.07266382633424676,1.804691939491753e-07,-11.821223588068753,3.0323538939881683e-32,5000
cn,strong,50,0.1744981394246025,0.3598923795940515,-0.18539424016944903,0.014732775334329975,0.36171867365453,0.17532840200981573,0.5402217847992272,-0.36129987982314193,-0.02276785232643531,0.0288,0.08473474296368834,0.02867422533352698,-4.955051097505066,7.231128367693177e-07,5000
cn,young,50,0.38880829783400567,0.36276346546045324,0.02604483237355243,0.2089991313608206,0.5643446274456672,0.19585607033634256,0.5283462771153061,-0.13869880856181238,0.18334998441974987,0.7316,0.0779388243981537,0.7382511312223966,0.7497304229724259,0.45341708063372255,5000
cn,charismatic,50,0.09290839071621072,0.1127149692680659,-0.019806578551855178,-0.040672500011059966,0.2436460541835928,-0.02752457060563849,0.2685670901344973,-0.1716818916827542,0.13773163925569776,0.798,0.07729442659588821,0.7977589840570491,-0.49483460235742766,0.6207168768967815,5000
cn,trustworthy,50,0.005412876901365962,0.03253769341686252,-0.02712481651549656,-0.10721616973756257,0.16223218670627115,-0.06080730462404979,0.1484163790472719,-0.15136727301629616,0.11355301718000316,0.6412,0.06155128259510002,0.6594400039768606,-0.6707651539819348,0.5023701492628319,5000
cn,attractive,50,0.27110977031014544,0.3530381735274088,-0.08192840321726336,0.0876707895746211,0.4598592382925115,0.1859976686238653,0.5196403372678084,-0.277389230757449,0.12063989634780183,0.4092,0.10161142194887735,0.4200749186581364,-2.2456439665050185,0.024726821926897364,5000
