mod,ds,trait,lvl,n,k,AIC,sem,sem_se,sem_p,sem_raw,vis,vis_se,vis_p,lrt_chi,lrt_df,lrt_p,sem_p_holm,vis_p_holm,sd_outcome,sem_std,vis_std,sem_se_std,vis_se_std
fam,cn,traitspace,L0,389137,63,1534030.61937826,0.0535780198271361,0.0197972332137941,0.0068029607218349,0.0347969408725055,0.0282932539074715,0.0158072583501397,0.0734715941264978,,,,,,2.346176775888701,0.0228363098542911,0.0120593018387348,0.0084380825082096,0.0067374541051588
fam,us,traitspace,L0,489741,63,1986314.65573476,0.0104205557105021,0.0180324925540931,0.563347426253228,0.005308104915002,-0.0031204992453678,0.0169538818823877,0.853967878122589,,,,,,2.304385977163473,0.0045220530821529,-0.0013541564982134,0.0078252917405311,0.0073572231607036
