dataset,trait,n_celebrities,rsa_sem_r,rsa_vis_r,diff_sem_minus_vis,sem_boot_ci_lower,sem_boot_ci_upper,vis_boot_ci_lower,vis_boot_ci_upper,boot_ci_lower,boot_ci_upper,p_boot,se_jackknife,p_jackknife,z_fisher_pairwise,p_fisher_pairwise,n_boot
us,traitspace,50,0.36422754419875614,0.3218871925962672,0.042340351602488946,0.22105478429450126,0.5005783885975887,0.1832676994705009,0.4591252627870447,-0.17696402778283205,0.2661781503295518,0.6788,0.11275349650325926,0.7072793238178299,1.186494894592019,0.23542691648331726,5000
us,warm,50,0.08265221939559582,0.05510248824702387,0.027549731148571947,-0.0525145797975857,0.21768189708179292,-0.053173155999679235,0.1762825815497657,-0.14653366974801788,0.20076434691098136,0.7632,0.08647182949475923,0.7500315525366328,0.6842760396873653,0.4938008739999912,5000
us,critical,50,-0.07728490417374126,0.0009543523787236793,-0.07823925655246494,-0.2020317481245667,0.06608191421756086,-0.10539888608658883,0.1292322608564036,-0.23082133879451505,0.08180039930964289,0.3048,0.07735190802240062,0.3117907772142431,-1.9377675452893857,0.052651588998031656,5000
us,competent,50,0.10802152526266873,0.01635768831629777,0.09166383694637095,-0.041384644359071174,0.26299211281093277,-0.09411806962450113,0.13495690962237678,-0.08128044278631893,0.2679875306411894,0.326,0.08937869996532259,0.3050957725367506,2.2762075099120462,0.022833592650243668,5000
us,practical,50,0.08352762964892319,0.09366857361813988,-0.010140943969216692,-0.049342401909688256,0.2146709606408652,-0.01856591208879977,0.21494850824560638,-0.1692962677068947,0.14856448180307025,0.898,0.07820753967271019,0.896829822246101,-0.25265352210124564,0.8005359667529681,5000
us,feminine,50,0.34075305815637835,0.2434295092317996,0.09732354892457876,0.20954130706289906,0.472162790199481,0.122000540445682,0.36533787798023293,-0.1087839232743503,0.30715547241105173,0.3356,0.10430633144126031,0.35079154772262533,2.633199113276657,0.008458474387172451,5000
us,strong,50,0.17687890817011961,0.1861824928767306,-0.009303584706610996,0.0011801802010455297,0.3443851849307404,0.05598125756571032,0.3305153041295287,-0.1990551341065408,0.17423790428206778,0.94,0.0947431974828414,0.921775135929568,-0.23780840368307068,0.8120297004365336,5000
us,youthful,50,0.06466915168044281,0.16439984485734374,-0.09973069317690093,-0.06076321587821793,0.195246838871288,0.03775178774225019,0.2951874382841004,-0.23427288674592886,0.05238486716140053,0.1896,0.06954477425754041,0.15155795526438393,-2.500166302489683,0.0124135018633166,5000
us,charismatic,50,0.049404890911348046,0.06068387244190945,-0.011278981530561408,-0.08983994126739617,0.1946912134308882,-0.0536526102672405,0.18838186528188314,-0.179690041581587,0.17015445595559547,0.8864,0.08721184493374345,0.8970976807503955,-0.2796488413382605,0.7797469314726333,5000
