dataset,trait,split,n_celebrities,sem_model,vis_model,sem_dissim_z_beta,sem_dissim_z_se,sem_dissim_z_t,sem_dissim_z_p,sem_dissim_z_ci_lower,sem_dissim_z_ci_upper,vis_dissim_z_beta,vis_dissim_z_se,vis_dissim_z_t,vis_dissim_z_p,vis_dissim_z_ci_lower,vis_dissim_z_ci_upper,AIC,BIC,AIC_null,BIC_null,lr_stat,lr_df,lr_p,n_obs,converged,sem_dissim_z_p_maxt,vis_dissim_z_p_maxt,n_perm_maxt
us,warm,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0787860916148606,0.0031133173165253,25.30615533362643,4.825941552343177e-141,0.0726841018020259,0.0848880814276953,0.0269961533756939,0.0023453974984607,11.510267830255405,1.1835496025599672e-30,0.0223992587492805,0.0315930480021072,1705619.3935244558,1705696.9754615054,1706523.4741827592,1706578.8898520805,908.0806583033408,2,6.498161307728309e-198,480765,True,0.1138861138861138,0.5824175824175825,1000.0
us,critical,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0392252621859341,0.00338935964162,11.573059909094113,6.424519843911001e-31,0.0325822393577053,0.0458682850141628,0.0316684408429038,0.0025846023142743,12.252732526007543,1.6612660282533854e-34,0.0266027133925672,0.0367341682932405,1720081.0273804436,1720158.3500340858,1720412.7277270746,1720467.9581939618,335.700346630998,2,1.2693925425204904e-73,463283,True,0.5614385614385614,0.5464535464535465,1000.0
us,competent,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0523519586394977,0.0028165175141396,18.58747846469196,4.738628527382953e-77,0.0468316857499577,0.0578722315290376,0.0303657346620299,0.002120442964982,14.320467545462543,1.6710507948905242e-46,0.0262097428193937,0.0345217265046661,1568109.1667580083,1568186.6108157,1568771.133996192,1568826.4511802574,665.967238183599,2,2.4381008408812963e-145,471388,True,0.2647352647352647,0.4495504495504495,1000.0
us,practical,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0557837858721134,0.0031393007555322,17.76949397849441,1.7241885794095872e-70,0.0496308694546308,0.061936702289596,0.0370197026464854,0.002378447840635,15.564647672324316,1.322329188576326e-54,0.0323580305397336,0.0416813747532372,1649971.8144345926,1650049.165135742,1650644.313467593,1650699.5639684135,676.4990330003202,2,1.2592196075129516e-147,465143,True,0.2897102897102897,0.3886113886113886,1000.0
us,feminine,all,50,GPT_wiki_cosine,VGGFace2_cosine,1.2391994492302023,0.0045228432548198,273.9868218757348,0.0,1.2303348393430351,1.2480640591173693,0.2161803678763857,0.003386146975036,63.84258257841373,0.0,0.2095436417589557,0.2228170939938156,1894898.207673867,1894975.3256516,1976882.564509265,1976937.6487790733,81988.35683539789,2,0.0,449933,True,0.0009990009990009,0.0009990009990009,1000.0
us,strong,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.1992237279762345,0.0031346908076033,63.55450671339258,0.0,0.1930798468906633,0.2053676090618058,0.0744511213827558,0.0023505469292602,31.67395658260164,6.007469725645259e-220,0.0698441340574346,0.0790581087080771,1714469.7804961144,1714547.3884473948,1720520.1317759056,1720575.56602682,6054.351279791212,2,0.0,482555,True,0.0029970029970029,0.0409590409590409,1000.0
us,youthful,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.1392617539015997,0.0032123044785245,43.352600861038255,0.0,0.1329657528163149,0.1455577549868845,0.1603651574773129,0.0024055285905135,66.66524692731967,0.0,0.1556504080761249,0.1650799068785009,1711629.8189606934,1711707.3484894242,1719361.0396588095,1719416.4178936172,7735.220698116114,2,0.0,477179,True,0.0239760239760239,0.0009990009990009,1000.0
us,charismatic,all,50,GPT_wiki_cosine,VGGFace2_cosine,0.0538689356434257,0.0032096745725756,16.783301367589583,3.821841240722346e-63,0.0475780890790835,0.0601597822077679,0.0233555230262777,0.0024228376804602,9.6397390607865,5.462610032775828e-22,0.0186068484321891,0.0281041976203663,1727002.5434925552,1727080.091217194,1727437.0859705724,1727492.4772024574,438.54247801727615,2,5.911679194878112e-96,478421,True,0.3216783216783216,0.6913086913086913,1000.0
