participant,unique_sem,unique_vis,shared,total_r2
0,0.05292238652192016,0.012317183768589368,0.011846572609160888,0.07708614289967042
1,0.02953457220475275,0.05455373867189006,0.017991862903616318,0.10208017378025913
2,0.017732134758079665,0.009457493618537427,0.005806622570048048,0.03299625094666514
3,0.03454591180339184,0.014482471933324637,0.01010015500426864,0.059128538740985115
4,0.05936190057114343,0.022313061680926616,0.016716169434114136,0.09839113168618419
5,0.03912752245998785,0.030023321676708514,0.01527197732380925,0.08442282146050561
6,0.01796137931164965,0.0432404537998885,0.012588096216479938,0.07378992932801809
7,0.011935535339135495,0.04841037846933205,0.011116532265032064,0.07146244607349961
8,0.02623562246346056,0.02302415822510606,0.010940018004949592,0.060199798693516215
9,0.011112613354052336,0.00013653894464282779,0.0008490895154114053,0.01209824181410657
10,0.02660603843166942,0.04236000139765295,0.015000933294576413,0.08396697312389878
11,0.053458827120779984,0.06147584398236161,0.025518969574077843,0.14045364067721944
12,0.02806477213431724,0.02438796504279772,0.011645853870764111,0.06409859104787907
13,0.08996871738119849,0.03123802998397096,0.024109878037409604,0.14531662540257906
14,0.028803077807775357,0.05057715268269436,0.017088092425735613,0.09646832291620533
15,0.003091401660424209,0.012057857270866168,-0.0017794724045925303,0.013369786526697847
16,0.0007110315840569426,0.015224822831313212,-0.0006927105466039141,0.01524314386876624
17,0.07223826299535063,0.054383512441540716,0.027933770596911156,0.1545555460338025
18,0.05396323865053576,0.03650903538851347,0.019809134881088708,0.11028140892013794
19,0.07953584553276927,0.052261089491035584,0.028786289710248547,0.1605832247340534
20,0.08825296376149472,0.06891420660369296,0.03474311019453635,0.19191028055972403
21,0.022842256692961915,0.06512731415295392,0.017533819088782154,0.10550338993469799
22,0.020108179434201623,0.015156315456553271,0.007780182615572118,0.04304467750632701
23,0.014172102038129797,0.04377936863448251,0.011362478025898737,0.06931394869851104
24,0.014319763650156414,0.04557686134445327,0.01166939728915073,0.07156602228376041
25,0.030903680298272174,0.06760990568533409,0.020582885999620992,0.11909647198322726
26,0.018553487989516393,0.03828233093105571,0.011980116023541654,0.06881593494411375
27,0.0660957973091928,0.03915407230028678,0.02275684028898395,0.12800670989846352
28,0.0050471258063029545,0.01201184454242199,0.003515618108441698,0.020574588457166643
29,0.005096435832246171,0.034334003247427414,0.00633064678183215,0.045761085861505735
30,0.036550471531408446,0.06063525886986132,0.021052072657901322,0.11823780305917109
31,0.031432490918032574,0.05354346088919393,0.018355220063150712,0.10333117187037721
32,0.021390414213974807,0.0418445221631083,0.013429177163782557,0.07666411354086566
33,0.05350482476837504,0.0587892176435888,0.024960736840898168,0.137254779252862
34,0.045532810298765436,0.014877931924759724,0.011867918734195793,0.07227866095772095
35,0.009979606485631454,0.010527424829648524,0.004561204920936257,0.025068236236216235
36,0.06261267301738593,0.06470018981643089,0.02832245007775791,0.15563531291157473
37,0.041781153103926605,0.031063346937212355,0.01605785050819386,0.08890235054933282
38,0.060070459263475096,0.04594026903354176,0.023408134545047643,0.1294188628420645
39,0.006561930068739397,0.008086202522738173,0.0032440750550354336,0.017892207646513003
40,0.004806134984391641,0.06083729744744959,0.008686089154881227,0.07432952158672246
41,0.07140114173099077,0.03415632639162991,0.022207433398969578,0.12776490152159026
42,0.03329461726413341,0.03753135653046824,0.01573410412918741,0.08656007792378906
43,0.011839189405695616,0.008687961470051353,0.004521257916118349,0.025048408791865318
44,0.059330051003674944,0.02697823155679957,0.018018117169796066,0.10432639973027058
45,0.12051173194964371,0.05145186633087373,0.035535042212207935,0.20749864049272537
46,0.03662084869231086,0.025038530156377248,0.013511911387360631,0.07517129023604874
47,0.032282759014256146,0.008376453337296863,0.007583542927274256,0.048242755278827265
48,0.07792739423948447,0.03998192032644032,0.025052782031906196,0.142962096597831
49,0.032569076426382626,0.031169810266420517,0.014178289817005862,0.077917176509809
50,0.06547653179317414,0.024824482679521087,0.018271135686465212,0.10857215015916044
51,0.09332223496487635,0.07465530404135523,0.03717726123580389,0.20515480024203547
52,0.03781597978552209,0.04847483395515395,0.019074340190400996,0.10536515393107704
53,0.047638155911331026,0.02649438241952906,0.0159140457459227,0.09004658407678279
54,0.06337074617481209,0.024520932792608696,0.01785096841771794,0.10574264738513872
55,0.04219788201732377,0.05093186952006179,0.020643055845048996,0.11377280738243456
