dataset,variant,trait,target,n_pairs_dropped,dfbeta_sem,dfbeta_vis,beta_sem_full,beta_vis_full,z_sem,z_vis
us,midpoint,warm,0,13057,0.00320223537474209,0.0005668845646903051,0.010022645915458811,-0.02922968515782723,0.7422898473477391,0.18537972856823787
us,midpoint,warm,1,12918,-0.005879451034073438,0.002077292442902133,0.010022645915458811,-0.02922968515782723,-1.3791663735587718,0.641633109609913
us,midpoint,warm,2,11344,-0.00032779883093847495,-0.0022398494420643837,0.010022645915458811,-0.02922968515782723,-0.08231614415450791,-0.6624587253615412
us,midpoint,warm,3,12829,0.008282545072355044,-0.002067033760666869,0.010022645915458811,-0.02922968515782723,1.9290358025561116,-0.6102557806655795
us,midpoint,warm,4,8494,0.0010755153383027634,-0.005695648762684049,0.010022645915458811,-0.02922968515782723,0.24549407084402558,-1.7063622609422249
us,midpoint,warm,5,8849,0.0060414037067287535,-0.006204047078340182,0.010022645915458811,-0.02922968515782723,1.4055115276567203,-1.8599356458404943
us,midpoint,warm,6,13047,-0.004304851770344625,0.002280509627204129,0.010022645915458811,-0.02922968515782723,-1.011344445658932,0.7030195263262534
us,midpoint,warm,7,12938,-6.990140259622094e-05,0.002381886694100159,0.010022645915458811,-0.02922968515782723,-0.022072035397197994,0.7336427971649632
us,midpoint,warm,8,12632,0.00121034883933842,0.0062705830761292936,0.010022645915458811,-0.02922968515782723,0.27699079476537103,1.9083128301667998
us,midpoint,warm,9,11590,0.002115408488251983,0.0016488399745533643,0.010022645915458811,-0.02922968515782723,0.4884101651386277,0.5122092035778488
us,midpoint,warm,10,13072,0.0015333871495608643,-0.0012394276775779638,0.010022645915458811,-0.02922968515782723,0.35245162901607857,-0.3602583600833929
us,midpoint,warm,11,12716,0.002852978425672957,-0.001075753100276796,0.010022645915458811,-0.02922968515782723,0.660704413327652,-0.31081669577438853
us,midpoint,warm,12,12408,0.003574749281389019,-0.0009265132229136948,0.010022645915458811,-0.02922968515782723,0.8293080407818576,-0.26573536402592524
us,midpoint,warm,13,12794,-0.00030082281711133266,-0.0003791379275560579,0.010022645915458811,-0.02922968515782723,-0.0760146237349854,-0.10038808743380583
us,midpoint,warm,14,10939,-0.0007122690450596884,-0.0004101403917505901,0.010022645915458811,-0.02922968515782723,-0.17212729714796227,-0.10975309361089558
us,midpoint,warm,15,8322,0.0022972781749060174,9.393715560708851e-05,0.010022645915458811,-0.02922968515782723,0.5308944087887936,0.04251510401093997
us,midpoint,warm,16,12029,0.0037628983780799187,-0.0010350805575843301,0.010022645915458811,-0.02922968515782723,0.8732591368299878,-0.2985306203462273
us,midpoint,warm,17,10537,-0.0012914410796910723,0.0030582645474172554,0.010022645915458811,-0.02922968515782723,-0.30742024391291023,0.9379582584978229
us,midpoint,warm,18,9400,-0.0004130771690237598,0.003359431598597133,0.010022645915458811,-0.02922968515782723,-0.10223692237737013,1.0289326815932907
us,midpoint,warm,19,11754,-0.014493871295742469,0.004531999674566814,0.010022645915458811,-0.02922968515782723,-3.391470546039484,1.3831337930149756
us,midpoint,warm,20,13031,0.0018220510312018882,0.0020642058190401755,0.010022645915458811,-0.02922968515782723,0.4198826941169315,0.6376799943821855
us,midpoint,warm,21,12974,-0.0044711678934300884,0.0036443985968382803,0.010022645915458811,-0.02922968515782723,-1.0501954209154898,1.115013506718983
us,midpoint,warm,22,13076,0.0016967771172765028,-0.004858874666874881,0.010022645915458811,-0.02922968515782723,0.39061906266668217,-1.4535954316053612
us,midpoint,warm,23,7955,0.000876230323011231,-0.0035681561873734356,0.010022645915458811,-0.02922968515782723,0.19894165575366454,-1.0637042778709827
us,midpoint,warm,24,13034,0.004624394678283448,-0.0019343840480691848,0.010022645915458811,-0.02922968515782723,1.0745022323392819,-0.5701858891217458
us,midpoint,warm,25,12150,0.00027798548923397594,-3.700724139358777e-05,0.010022645915458811,-0.02922968515782723,0.0591933571326084,0.0029603422000093658
us,midpoint,warm,26,12389,-0.0023547911408789285,0.0003101991805884441,0.010022645915458811,-0.02922968515782723,-0.5558158062303404,0.10784201438529423
us,midpoint,warm,27,9486,-0.0039634904803159225,0.0010012620912899853,0.010022645915458811,-0.02922968515782723,-0.9316034152259604,0.3165934344939888
us,midpoint,warm,28,12138,0.0034477799768097466,0.002369252115856299,0.010022645915458811,-0.02922968515782723,0.7996483708771133,0.7298262326958865
us,midpoint,warm,29,7301,-0.0017085447298853546,-0.006391715164350435,0.010022645915458811,-0.02922968515782723,-0.4048544751376902,-1.9166251003851622
us,midpoint,warm,30,11405,-0.0022228326779220216,-0.0005314616393468433,0.010022645915458811,-0.02922968515782723,-0.5249906830605455,-0.1464009621810181
us,midpoint,warm,31,11865,-0.0012666488567542739,0.0007573491727977215,0.010022645915458811,-0.02922968515782723,-0.30162885085970836,0.2429139368250615
us,midpoint,warm,32,13088,-0.00449975954736701,0.0031602202269510674,0.010022645915458811,-0.02922968515782723,-1.0568743502882998,0.9687563125696643
us,midpoint,warm,33,13105,-0.006467798205384493,-0.0037883958785038287,0.010022645915458811,-0.02922968515782723,-1.516602606263197,-1.1302327336393545
us,midpoint,warm,34,12955,-0.004926322041496076,0.00041478457084753034,0.010022645915458811,-0.02922968515782723,-1.1565181406637406,0.13943443296415112
us,midpoint,warm,35,13050,0.0009500487965899123,0.0035346071828670986,0.010022645915458811,-0.02922968515782723,0.2161854420882492,1.081848489139094
us,midpoint,warm,36,10296,0.00735631119969855,0.0036126564793345015,0.010022645915458811,-0.02922968515782723,1.712670193493232,1.1054250712761893
us,midpoint,warm,37,13134,0.004669334494540988,-0.0020563407501685387,0.010022645915458811,-0.02922968515782723,1.0850000461234497,-0.6070257113156015
us,midpoint,warm,38,13133,0.0064824955254795796,-0.0014694681964554576,0.010022645915458811,-0.02922968515782723,1.5085493271089865,-0.42974738091576314
us,midpoint,warm,39,12673,0.0021468576045168084,-0.0021320174100890044,0.010022645915458811,-0.02922968515782723,0.4957565896173747,-0.6298855841040901
us,midpoint,warm,40,9031,-0.0054581374286416726,0.011112928246820489,0.010022645915458811,-0.02922968515782723,-1.2807487087153606,3.3710543771152426
us,midpoint,warm,41,11887,0.00027416805659453806,-0.0038123335669950804,0.010022645915458811,-0.02922968515782723,0.05830161568104651,-1.1374636620964984
us,midpoint,warm,42,13158,-0.003712222529492685,-0.0013271290707126716,0.010022645915458811,-0.02922968515782723,-0.8729079336388671,-0.3867505796467259
us,midpoint,warm,43,11465,0.0028735513334907734,-0.0011112887236496768,0.010022645915458811,-0.02922968515782723,0.6655101863204166,-0.32155104677002505
us,midpoint,warm,44,12713,-0.005172690472660111,-0.0010290160194644862,0.010022645915458811,-0.02922968515782723,-1.2140691083365043,-0.29669868735544425
us,midpoint,warm,45,12928,-0.0011877713397160667,-0.004685374275530157,0.010022645915458811,-0.02922968515782723,-0.28320328630289515,-1.401185654547788
us,midpoint,warm,46,12905,0.0006742270570390188,0.0019143661143468799,0.010022645915458811,-0.02922968515782723,0.15175426500383637,0.5924174710156235
us,midpoint,warm,47,12082,0.00610903535665118,-0.0005361081973429271,0.010022645915458811,-0.02922968515782723,1.421310089509597,-0.14780456171628364
us,midpoint,warm,48,13257,-0.006438756507646219,0.0018688324669434327,0.010022645915458811,-0.02922968515782723,-1.5098185479331558,0.5786629872906195
us,midpoint,warm,49,8627,0.00264373182739607,-0.00383335523048969,0.010022645915458811,-0.02922968515782723,0.6118250006684426,-1.1438137382467173
