"label","fit","level","n","secs","conv_code","conv_msg","pdHess","max_abs_grad","hess_cond","logLik","AIC","npar","sigma","sem","sem_se","sem_z","sem_p","vis","vis_se","vis_z","vis_p","fam_sd","warnings","int_lrt_chisq","int_lrt_df","int_lrt_p"
"fam_cn_practical","selected","L1",378854,827.402550458908,0,"relative convergence (4)",TRUE,0.382085640932728,113476.186506534,-604113.723376068,1208325.44675214,49,1.18241434591283,0.0483597732342783,0.00607102502138468,7.96566857555931,1.64332839146118e-15,-0.0047528199141702,0.00504614725326815,-0.941871030634712,0.346258673417048,1.53795901193852,"",64.7243731191847,2,8.81619027696811e-15
"fam_cn_practical","nointer","L1",378854,764.971352577209,0,"relative convergence (4)",TRUE,2.00019628809081,110054.733627755,-604146.085562627,1208386.17112525,47,1.18244234528865,NA,NA,NA,NA,NA,NA,NA,NA,1.53795901193852,"",NA,NA,NA
"fam_cn_practical","L0","L0",378854,1356.62369251251,1,"singular convergence (7)",TRUE,0.563794249224014,1206134516993.59,-604037.824473963,1208217.64894793,71,1.18207700895356,0.0430230493466546,0.00753106548224949,5.71274402646727,1.11168834801777e-08,-0.0117701956682302,0.00624179179925645,-1.88570782986262,0.0593343371940823,1.53795901193852,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",NA,NA,NA
