dataset,split,n_targets,n_pairs,spearman_rho,spearman_p,pearson_r,pearson_p,shared_var_pct,vif
us,all,50,1225,0.1736232211867181,9.527899747398006e-10,0.1819965203930375,1.389502745974821e-10,3.312273343517333,1.0342574332653962
cn,all,50,1225,0.3377453689469262,4.5813755105542995e-34,0.3742795103010501,5.038470801977973e-42,14.008515183119387,1.1629058413510431
