dataset,trait,variant,n_pairs_rec,n_pairs_unrec,n_obs,converged,AIC,sem_dissim_z_beta,sem_dissim_z_se,sem_dissim_z_t,sem_dissim_z_p,sem_dissim_z_ci_lower,sem_dissim_z_ci_upper,vis_dissim_z_beta,vis_dissim_z_se,vis_dissim_z_t,vis_dissim_z_p,vis_dissim_z_ci_lower,vis_dissim_z_ci_upper,recognized_beta,recognized_se,recognized_t,recognized_p,recognized_ci_lower,recognized_ci_upper,sem_dissim_z_X_recognized_beta,sem_dissim_z_X_recognized_se,sem_dissim_z_X_recognized_t,sem_dissim_z_X_recognized_p,sem_dissim_z_X_recognized_ci_lower,sem_dissim_z_X_recognized_ci_upper,vis_dissim_z_X_recognized_beta,vis_dissim_z_X_recognized_se,vis_dissim_z_X_recognized_t,vis_dissim_z_X_recognized_p,vis_dissim_z_X_recognized_ci_lower,vis_dissim_z_X_recognized_ci_upper
cn,warm,strict,191924,46810,238734,True,781813.2741615245,0.0452175358068524,0.007115833593846303,6.354495957572145,2.0974315646149896e-10,0.03127075824293343,0.05916431337077137,0.029428732782981006,0.006409799704921146,4.591209419599648,4.409237298029978e-06,0.016865756213220097,0.041991709352741914,0.007231942559289201,0.008897622371356361,0.8127949532417341,0.41633666152323956,-0.010207076836607133,0.024670961955185533,0.004568513492313305,0.007329998238350423,0.623262563476608,0.5331125965440004,-0.009798019061595564,0.018935046046222172,0.0023806275355258044,0.0069899346006646376,0.34057937184411463,0.7334205615845778,-0.011319392536067247,0.016080647607118855
cn,critical,strict,192065,46176,238241,True,829766.4313527636,0.08890537559170585,0.007961894583375389,11.166359295605625,6.088073758377986e-29,0.07330034895958555,0.10451040222382614,0.058331658091122014,0.007162828261431235,8.14366280498627,3.8537612822187026e-16,0.044292772671271144,0.07237054351097288,0.076284459466641,0.00991566686022942,7.693326181883847,1.4398194527767273e-14,0.05685010953789399,0.09571880939538802,0.044111195190776185,0.008179213594065905,5.393085127741286,6.932404932016436e-08,0.028080231124546603,0.060142159257005764,-0.00921991898844899,0.007796278145180489,-1.1826051888808724,0.23696683725478768,-0.02450034336645948,0.0060605053895615
cn,competent,strict,188278,46266,234544,True,701607.3893578419,0.20399588321798243,0.006237461907278703,32.70495054726231,5.389766515338522e-234,0.19177068252477567,0.2162210839111892,0.023167653913270966,0.005597199934508364,4.1391506796881865,3.4871704989613574e-05,0.012197343627364627,0.034137964199177306,-0.18383051961158042,0.007800609116013095,-23.566175009873657,1.2163474442566523e-122,-0.1991194325364409,-0.16854160668671994,-0.07608175077017224,0.006402123386692331,-11.883830750328606,1.4676437309601084e-32,-0.0886296820326708,-0.06353381950767367,0.04554972241918321,0.006101279114644223,7.465602140681495,8.320465423287763e-14,0.03359143509485411,0.05750800974351231
cn,practical,strict,190818,46367,237185,True,750062.8571529001,0.2065197216969515,0.006780614402675314,30.457375900253002,2.7019177873586683e-203,0.19322996167465434,0.2198094817192487,0.036429639436659556,0.006093519728268628,5.978423154627323,2.2563213627869735e-09,0.02448656023016875,0.04837271864315036,-0.07215504696574856,0.008452053355292664,-8.536984319977721,1.3861923083095942e-17,-0.0887207671375331,-0.05558932679396403,-0.04181258105097205,0.006957253713225114,-6.0099261539779825,1.8587758918759343e-09,-0.05544854776020083,-0.028176614341743268,0.03771641736688828,0.006634936124267201,5.684518533485337,1.3133515243433234e-08,0.024712181523600794,0.05072065321017576
cn,feminine,strict,188389,45306,233695,True,944333.331320212,0.2855444167448911,0.010682704318000839,26.7296003188758,3.6847177768525985e-157,0.264606701024119,0.30648213246566325,0.9452176594033638,0.009577220060619512,98.69436573667092,0.0,0.926446653012535,0.9639886657941925,0.11505528287519942,0.01304588279884731,8.819279204728508,1.1671836934666958e-18,0.0894858224429281,0.14062474330747074,-0.06748942289102779,0.010913437289758148,-6.18406658682724,6.257438636232399e-10,-0.08887936692649018,-0.0460994788555654,0.3195351451634375,0.010409979160358065,30.695080195765414,1.7112185584216378e-206,0.2991319609293232,0.3399383293975518
cn,strong,strict,192997,46791,239788,True,774865.0213302323,0.11626823933493034,0.007012006817272212,16.581307229841034,1.0313313510970596e-61,0.10252495851372748,0.1300115201561332,0.21031598146262692,0.0062794393908879535,33.49279583266857,2.2811811048229112e-245,0.1980085064133844,0.22262345651186943,0.09043704772737506,0.008707689995881958,10.38588279671699,2.912083823127858e-25,0.0733702889469067,0.10750380650784341,-0.007475921764309072,0.00717837058913741,-1.0414510746522236,0.2976672990388331,-0.021545269586699962,0.0065934260580818175,0.025362753883459994,0.0068329488926298625,3.711831345733714,0.00020581163562494493,0.011970420145702623,0.03875508762121736
cn,young,strict,193999,46797,240796,True,800088.9065376109,0.30162945689577003,0.007342970162689143,41.0773093466183,0.0,0.2872374998373471,0.316021413954193,0.31557717834867244,0.006577212737514543,47.98038180348194,0.0,0.30268607826448585,0.32846827843285903,0.025917787886731238,0.009107878544638168,2.8456448732497766,0.004432572922427417,0.008066673963675351,0.043768901809787125,-0.003505400110254838,0.007512331696435469,-0.46661945344054995,0.6407725886197545,-0.01822929967518704,0.011218499454677365,-0.0588345255438571,0.007151994424503543,-8.226310320137184,1.940165232590579e-16,-0.0728521770335153,-0.04481687405419889
cn,charismatic,strict,190517,46506,237023,False,776956.3294951287,0.08960051348500851,0.007148148696024679,12.534785899856603,5.0370049686077635e-36,0.0755903994846632,0.10361062748535382,0.10610400075640473,0.006434100586167584,16.490883121179902,4.638079547027961e-61,0.09349339533460822,0.11871460617820125,-0.02875681730546116,0.008922079977424389,-3.2231068739828346,0.0012682965143838297,-0.0462437727283989,-0.011269861882523421,0.008701291647880468,0.007362307025115519,1.181870250479528,0.23725838574789146,-0.005728564964472174,0.02313114826023311,-0.03160921232929456,0.007017523856677513,-4.5043255961598,6.661587124142086e-06,-0.0453633063490331,-0.01785511830955602
cn,trustworthy,strict,191654,46775,238429,True,758463.1126929721,0.12646358806372515,0.006794701848798016,18.612087899941717,3.083746606318894e-77,0.11314621715439332,0.13978095897305698,0.05059823696425172,0.006118585918153748,8.269596544215805,1.351215516010835e-16,0.038606028928356434,0.062590445000147,-0.04007705418579169,0.008489920189341534,-4.720545457671729,2.353700917742376e-06,-0.056716991988520565,-0.02343711638306281,-0.03511071027808369,0.0069914339035769685,-5.02196126893516,5.118351430165786e-07,-0.04881366892938683,-0.021407751626780554,-0.0003505887806740182,0.006670165703167288,-0.052560730314022516,0.9580819504972835,-0.013423873329796183,0.012722695768448148
cn,attractive,strict,192030,46613,238643,True,817644.44774105,0.15952256164357578,0.0077333468685591425,20.62788135007031,1.880138134502172e-94,0.14436548030124427,0.1746796429859073,0.21282528013200808,0.006939887289540773,30.666964930793736,3.9812238530141255e-206,0.19922335098774088,0.22642720927627527,0.04491263329470368,0.009616606195196423,4.6703205250453035,3.0090241802230945e-06,0.026064431498613934,0.06376083509079342,0.07230497908365477,0.00792603931107768,9.122460316667755,7.398550954880212e-20,0.056770227493893856,0.08783973067341568,-0.021808960775282108,0.007552430717951071,-2.8876743911659144,0.0038813629007998507,-0.03661145297820019,-0.0070064685723640295
