"label","moderator","level","k_re","n","secs","converged","singular","logLik","AIC","semXfam","semXfam_se","semXfam_z","semXfam_p","semXfam_raw","visXfam","visXfam_se","visXfam_z","visXfam_p","visXfam_raw","fam_sd","lrt_chisq","lrt_df","lrt_p"
"fam_us_practical","fam","L0",63,448175,1647.4492328167,TRUE,FALSE,-792863.413641731,1585868.82728346,0.00390587173503898,0.00437493779343139,0.892783376463848,0.371973190260569,0.00199363384115982,-0.0105733532184856,0.00359684500035756,-2.93961880966084,0.00328616256188765,-0.0053968476746968,1.95917206780895,NA,NA,NA
"fam_us_practical","fam","L1",41,448175,751.891450405121,TRUE,FALSE,-792873.401031584,1585844.80206317,0.00398154315843353,0.00408477693301337,0.974727194098285,0.329695599901011,0.00203225802564974,-0.0113915605129278,0.00310096490791659,-3.67355350711832,0.000239200559286665,-0.00581447678848733,1.95917206780895,19.9747797052842,22,0.584617401995551
"fam_us_practical","fam","L2",33,448175,1295.92751383781,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95917206780895,NA,NA,NA
"fam_us_practical","fam","L3",23,448175,701.657737970352,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95917206780895,NA,NA,NA
"fam_us_practical","fam","L4",12,448175,249.018774032593,TRUE,FALSE,-793257.723646872,1586555.44729374,0.0036927841857873,0.00240973156645813,1.53244628455236,0.125412343288481,0.00188486976027438,-0.0155185838229678,0.00228879681514742,-6.78023655060368,1.19979273098101e-11,-0.00792099074805774,1.95917206780895,NA,NA,NA
"fam_us_practical","fam","L5",8,448175,228.371573209763,TRUE,FALSE,-794191.743691635,1588415.48738327,0.00307276475874452,0.00239997880971465,1.28032995387566,0.20042911733011,0.00156839963637342,-0.0157643684951668,0.00229359090124104,-6.87322594741583,6.27660300370104e-12,-0.00804644408431007,1.95917206780895,1868.04008952715,4,0
"fam_us_practical","fam","L6",3,448175,102.615624427795,TRUE,FALSE,-794879.771931848,1589781.5438637,0.00167942250038674,0.00220518518170334,0.761578897918002,0.446311373251181,0.000857210312448429,-0.013606709506346,0.0021586756934853,-6.30326711298502,2.91435987256394e-10,-0.00694513245156827,1.95917206780895,1376.05648042588,5,2.1225188611524e-295
