"label","moderator","level","k_re","n","secs","converged","singular","logLik","AIC","semXfam","semXfam_se","semXfam_z","semXfam_p","semXfam_raw","visXfam","visXfam_se","visXfam_z","visXfam_p","visXfam_raw","fam_sd","lrt_chisq","lrt_df","lrt_p"
"arm_us_youthful","arm","L0",63,291292,993.669606924057,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"arm_us_youthful","arm","L1",41,291292,501.92734837532,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"arm_us_youthful","arm","L2",33,291292,368.75431728363,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"arm_us_youthful","arm","L3",23,291292,150.590328216553,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"arm_us_youthful","arm","L4",12,291292,65.5358784198761,TRUE,FALSE,-523191.504323199,1046421.0086464,-0.0136586144056768,0.00894746387418905,-1.52653473629306,0.126876746443509,-0.0136586144056768,-0.0494586157467459,0.0083226101655511,-5.94268081322188,2.8039809148498e-09,-0.0494586157467459,1,NA,NA,NA
"arm_us_youthful","arm","L5",8,291292,59.6662871837616,TRUE,FALSE,-523519.528300073,1047069.05660015,-0.0154931393880117,0.00876147466414051,-1.7683255367299,0.0770064971304577,-0.0154931393880117,-0.0500102311457786,0.00830797604738917,-6.01954445469238,1.7490861705165e-09,-0.0500102311457786,1,656.047953748028,4,1.14346916801729e-140
"arm_us_youthful","arm","L6",3,291292,30.8908779621124,TRUE,FALSE,-523929.718152986,1047879.43630597,-0.00719369902729303,0.00797437069189117,-0.902102410991255,0.367002468260004,-0.00719369902729303,-0.0443343103388014,0.00774573615690692,-5.72370520254143,1.04225541589266e-08,-0.0443343103388014,1,820.37970582745,5,4.51064546317735e-175
