"label","moderator","level","k_re","n","secs","converged","singular","logLik","AIC","semXfam","semXfam_se","semXfam_z","semXfam_p","semXfam_raw","visXfam","visXfam_se","visXfam_z","visXfam_p","visXfam_raw","fam_sd","lrt_chisq","lrt_df","lrt_p"
"fam_cn_feminine","fam","L0",63,373388,1090.02255725861,TRUE,FALSE,-703988.494879275,1408118.98975855,0.0353417163629992,0.0377760733903525,0.935558230147472,0.349500689119725,0.0230097848755079,0.0412312235593716,0.0279925342322587,1.47293643431028,0.140768176634288,0.0268442419295848,1.53594292837642,NA,NA,NA
"fam_cn_feminine","fam","L1",41,373388,636.104436159134,TRUE,FALSE,-705933.809049896,1411965.61809979,0.0439473808509992,0.00660364064615035,6.65502307073882,2.83255617707795e-11,0.0286126392062328,0.0353825376003141,0.00691178310945965,5.11916202229908,3.06896223269001e-07,0.0230363621893916,1.53594292837642,3890.6283412436,22,0
"fam_cn_feminine","fam","L2",33,373388,494.641997098923,TRUE,FALSE,-706902.10156193,1413886.20312386,-0.00696494169682891,0.0059521593054861,-1.17015377770708,0.241939090094586,-0.00453463573948756,0.0441520201016037,0.00674524491256761,6.54565114742394,5.92367118815396e-11,0.0287458728354411,1.53594292837642,1936.5850240679,8,0
"fam_cn_feminine","fam","L3",23,373388,292.761006355286,TRUE,FALSE,-750774.703171898,1501611.4063438,-0.099024699338672,0.0084236159970399,-11.7556046445457,6.60859777371557e-32,-0.0644716008057322,0.176544130308992,0.0101019331323513,17.4762719170662,2.17246624255956e-68,0.114941855616737,1.53594292837642,87745.2032199348,10,0
"fam_cn_feminine","fam","L4",12,373388,127.886086702347,TRUE,FALSE,-751507.542256587,1503055.08451317,-0.0870978922332528,0.00401682408668965,-21.6832727432264,2.95129201230919e-104,-0.0567064639083434,0.167429282820634,0.00378181562861213,44.2721960197933,0,0.109007489619173,1.53594292837642,1465.67816937878,11,8.09809318219175e-308
"fam_cn_feminine","fam","L5",8,373388,123.241768360138,TRUE,FALSE,-751580.385673152,1503192.7713463,-0.0893027859674082,0.00398634064735061,-22.4021963669262,3.74645915404776e-111,-0.0581419949384488,0.1674994564253,0.00377727213136843,44.3440267473178,0,0.10905317725728,1.53594292837642,145.686833129032,4,1.70929855441708e-30
"fam_cn_feminine","fam","L6",3,373388,57.6872267723083,TRUE,FALSE,-754326.326527143,1508674.65305429,-0.0540055954388061,0.00340263930237523,-15.8716780239114,9.95435369039267e-57,-0.0351611993135012,0.141109729316347,0.00324582285727015,43.4742546101315,0,0.0918717269433365,1.53594292837642,5491.88170798332,5,0
